Element,Type,"Nuclet ID","Nuclet Type","Particle ID",X,Y,Z,Xn,Yn,Zn
"Nickel 58",proton,N00,final,P15,148.54054763181,137.12982361921,-149.02560175278,95.95,87.15,-88.25
"Nickel 58",proton,N00,final,P16,92.18824001718,236.08641897352,5.4335179598166,-95.95,87.15,-88.25
"Nickel 58",proton,N00,final,P17,67.683569618831,185.42838177826,87.092484988505,-142.75,8.6,-49.85
"Nickel 58",proton,N00,final,P18,147.20229343333,152.33243548937,137.30723284365,-142.75,8.6,49.85
"Nickel 58",proton,N00,final,P19,232.96110614817,177.49630342698,94.329235075487,-95.95,87.15,88.25
"Nickel 58",nuclet,N01,final,N01,-144.8307,88.476,0,0,0,0
"Nickel 58",proton,N01,final,P0,-190.0698200632,97.878760820226,65.442205073368,61.11,51.8,0
"Nickel 58",proton,N01,final,P1,-142.44328398234,11.199268210951,47.151531987434,77.1,-47.5,0
"Nickel 58",proton,N01,final,P2,-154.1793613,160.90364401044,-32.931914839472,-61.11,51.8,0
"Nickel 58",proton,N01,final,P3,-97.161752798514,90.715198401851,-76.963091564848,-77.1,-47.5,0
"Nickel 58",proton,N01,final,P4,-93.526372897747,90.353370605879,81.419248339648,49.5,0,-82.55
"Nickel 58",proton,N01,final,P5,-64.454572721364,141.40445419148,1.7347624014123,-49.5,0,-82.55
"Nickel 58",proton,N01,final,P6,-196.13502710225,86.598629394121,-81.419248339648,-49.5,0,82.55
"Nickel 58",proton,N01,final,P7,-225.20682727864,35.547545808524,-1.7347624014123,49.5,0,82.55
"Nickel 58",proton,N01,final,P8,-132.30082419798,178.15850438479,62.027821537256,0,83.7,-71.005
"Nickel 58",proton,N01,final,P9,-245.56515688502,131.01752813117,-9.4967155029501,0,83.7,71.005
"Nickel 58",proton,N01,final,P11,-142.42524471094,8.4912645633521,-50.365845391314,0,-80.25,50
"Nickel 58",nuclet,N010,beryllium,N010,-233.97970197311,83.67594293502,144.33762204589,0,0,0
"Nickel 58",proton,N010,beryllium,P1,-167.53433998356,46.674374729805,142.15766736008,64.721359549996,-40,0
"Nickel 58",proton,N010,beryllium,P3,-274.64095176872,84.413268506631,80.033862450818,-64.721359549996,-40,0
"Nickel 58",proton,N010,beryllium,P4,-155.40519661426,137.24421642768,145.59147790001,50,0,-80.901699437495
"Nickel 58",proton,N010,beryllium,P5,-238.1496047431,166.39911524255,97.598199219523,-50,0,-80.901699437495
"Nickel 58",proton,N010,beryllium,P6,-312.55420733196,30.10766944236,143.08376619176,-50,0,80.901699437495
"Nickel 58",proton,N010,beryllium,P7,-229.80979920312,0.95277062748526,191.07704487225,50,0,80.901699437495
"Nickel 58",proton,N010,beryllium,P9,-243.64874404584,97.275033922621,169.26901490122,0,30,0
"Nickel 58",proton,N010,beryllium,P11,-230.89725744557,4.8865842714255,91.16036686109,0,-80.901699437495,50
"Nickel 58",nuclet,N011,beryllium,N011,-148.91931470431,233.04491609584,-88.809042147544,0,0,0
"Nickel 58",proton,N011,beryllium,P1,-212.95695316628,191.95952260573,-88.969304360922,64.721359549996,-40,0
"Nickel 58",proton,N011,beryllium,P3,-83.549512948937,194.16054941512,-86.898694455975,-64.721359549996,-40,0
"Nickel 58",proton,N011,beryllium,P4,-200.22942313148,233.94250157331,-8.7368741652931,50,0,-80.901699437495
"Nickel 58",proton,N011,beryllium,P5,-100.25667756718,235.64288829625,-7.1372400419185,-50,0,-80.901699437495
"Nickel 58",proton,N011,beryllium,P6,-97.609206277144,232.14733061837,-168.8812101298,-50,0,80.901699437495
"Nickel 58",proton,N011,beryllium,P7,-197.58195184144,230.44694389543,-170.48084425317,50,0,80.901699437495
"Nickel 58",proton,N011,beryllium,P9,-149.41887593934,263.0335761599,-89.465324201866,0,30,0
"Nickel 58",proton,N011,beryllium,P11,-146.75402265401,151.0936106007,-137.02086652554,0,-80.901699437495,50
